Price,Close,High,Low,Open,Volume,SMA50,SMA200,BB_Mid,BB_Std,BB_Upper,BB_Lower,EMA20,TR,ATR,KC_Upper,KC_Lower,EMA12,EMA26,MACD,MACD_Signal,Signal,Returns,Strategy
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,123.33064270019531,129.07955877586164,122.44315755676651,128.46818597294893,112117500,,,,,,,123.33064270019531,6.636401219095134,,,,123.33064270019531,123.33064270019531,0.0,0.0,-1,,
2023-01-04,124.60270690917969,126.87072372434358,123.34050912530462,125.1253349737568,89113600,,,,,,,123.45179167247954,3.530214599038956,,,,123.5263448861929,123.4248696786386,0.1014752075543015,0.020295041510860302,-1,0.010314259142203852,-0.010314259142203852
2023-01-05,123.28133392333984,125.99308946159266,123.02495518012978,125.36199059273537,80962700,,,,,,,123.4355576011329,2.9681342814628806,,,,123.48865089190782,123.41423740046832,0.07441349143950049,0.03111873149658834,-1,-0.010604689244857024,0.010604689244857024
2023-01-06,127.81735229492188,128.47803270861587,123.15313725839339,124.25756397513359,87754700,,,,,,,123.85287138149376,5.324895450222485,,,,124.15460495391,123.74039405931673,0.41421089459326765,0.10773716411592421,-1,0.03679404032408229,-0.03679404032408229
2023-01-09,128.33999633789062,131.55466910779157,128.08361757784448,128.6555533163335,70790800,,,,,,,124.28021661543632,3.47105152994709,,,,124.79851132067624,124.08110533921109,0.7174059814651486,0.2296709275857691,-1,0.004088991311311352,-0.004088991311311352
2023-01-10,128.9119415283203,129.4345696464241,126.33823803970584,128.44847658636624,63896200,,,,,,,124.72133327380622,3.096331606718266,,,,125.43134673723688,124.43894505692289,0.9924016803139892,0.38221707813141315,-1,0.004456484391069271,-0.004456484391069271
2023-01-11,131.63357543945312,131.65328646822576,128.64571450243,129.4247214433815,69458900,,,,,,,125.37964205148688,3.007571965795762,,,,126.38553576834707,124.97188064081402,1.4136551275330476,0.58850468801174,-1,0.02111234908780668,-0.02111234908780668
2023-01-12,131.5546875,132.39285762882386,129.6120828388038,132.01815247276784,71379600,,,,,,,125.96774161801194,2.780774790020075,,,,127.18078988090906,125.45949596371669,1.7212939171923693,0.8150625338478659,-1,-0.000599299526657715,0.000599299526657715
2023-01-13,132.8858642578125,133.04364272167805,129.82898551497536,130.1938350469048,57809700,,,,,,,126.62661044085009,3.2146572067026966,,,,128.05849363120188,126.0095973188349,2.0488963123669777,1.0618292895516883,-1,0.010118809014787011,-0.010118809014787011
2023-01-17,134.0494842529297,135.38070076927318,132.26465833803292,132.95492042575748,63646600,,,,,,,127.33355080390528,3.1160424312402597,,,,128.9801844960831,126.60514449913822,2.375039996944878,1.3244714310303263,-1,0.008756537059951164,-0.008756537059951164
2023-01-18,133.3296661376953,136.68237694738994,133.1521615402051,134.91727676709147,69672800,,,,,,,127.90460940712337,3.5302154071848406,,,,129.6493355178696,127.10325721310541,2.5460783047641797,1.568792805777097,-1,-0.005369793992464733,0.005369793992464733
2023-01-19,133.38877868652344,134.35514542774973,131.9096394708051,132.2153258346004,58280400,,,,,,,128.4269112432567,2.445505956944629,,,,130.22463446689326,127.56885139632156,2.655783070571701,1.786190858736018,-1,0.0004433563102683724,-0.0004433563102683724
2023-01-20,135.9525909423828,136.1005138701175,132.3533587328716,133.3986145505782,80223600,,,,,,,129.14364264317348,3.7471551372458975,,,,131.10585854004552,128.18986914047423,2.9159893995712878,2.012150566903072,-1,0.019220599222102397,-0.019220599222102397
2023-01-23,139.14756774902344,141.32683964763805,135.9822029643826,136.19914460303502,81760300,,,,,,,130.09639741515917,5.344636683255459,,,,132.34304457219596,129.0015505188853,3.3414940533106687,2.2780192641845916,-1,0.023500668758822396,-0.023500668758822396
2023-01-24,140.54782104492188,141.16906439218428,138.34883807200805,138.35869358432294,66435100,,,,,,,131.0917710941842,2.820226320176232,,,,133.60531787569226,129.85682981711022,3.7484880585820406,2.5721130230640816,-1,0.010063081364268145,-0.010063081364268145
2023-01-25,139.8871612548828,140.44922647148869,136.87957443059517,138.93064978868992,65799300,,,,,,,131.92942729996503,3.5696520408935157,,,,134.57175531864465,130.5998173310193,3.9719379876253527,2.852078015976336,-1,-0.00470060499783842,0.00470060499783842
2023-01-26,141.9579620361328,142.2439224000094,139.92659771489312,141.178940100887,54105100,,,,,,,132.88452584626674,2.31732468511629,,,,135.70809481364282,131.44116138324992,4.266933430392896,3.135049098859648,-1,0.014803365531715018,-0.014803365531715018
2023-01-27,143.9005126953125,145.18243632337052,141.09015728986634,141.16904651814795,70555800,,,,,,,133.93366745093778,4.092279033504184,,,,136.96846679543816,132.36407629525456,4.604390500183598,3.428917379124438,-1,0.013683985253925002,-0.013683985253925002
2023-01-30,141.01129150390625,143.5258315295515,140.863383580403,142.94404030165967,64015300,,,,,,,134.6077268845538,2.6624479491485147,,,,137.59043982751018,133.0046107551547,4.585829072355494,3.6602997177706493,-1,-0.020077907557728758,0.020077907557728758
2023-01-31,142.2833251953125,142.33263284521934,140.30128406034757,140.71544123571715,65874500,,,133.89071311950684,6.543595662702411,146.97790444491167,120.80352179410202,135.3387362474832,2.031348784871767,3.4853433539292467,142.30942295534172,128.3680495396247,138.31242219178745,133.69192293590712,4.620499255880333,3.8523396253925863,-1,0.009020793142448635,-0.009020793142448635
2023-02-01,143.40750122070312,144.57109881294525,139.35467333783802,141.967813832125,77663600,,,134.89455604553223,6.376166130047973,147.64688830562818,122.14222378543629,136.10719005445654,5.216425475107229,3.4143445667298513,142.93587918791624,129.27850092099683,139.0962805039283,134.41159540144756,4.684685102480756,4.01880872081022,-1,0.007900968183358614,-0.007900968183358614
2023-02-02,148.72251892089844,149.0774978736836,146.10936405021556,146.82920755988812,118339000,,,136.10054664611818,6.604051897786464,149.3086504416911,122.89244285054525,137.30864994649863,2.968133823468037,3.3862405279513057,144.08113100240124,130.53616889059603,140.57724026038525,135.47166381029578,5.1055764500894725,4.236162266666071,-1,0.03706234091629246,-0.03706234091629246
2023-02-03,152.35133361816406,155.19128562284567,145.77409661965578,145.97131216518497,154357300,,,137.55404663085938,6.829345141491305,151.21273691384198,123.89535634787677,138.74128648665726,9.41718900318989,3.708693264037656,146.15867301473259,131.32389995858193,142.38863923850508,136.7220097219897,5.666629516515371,4.5222557166359305,-1,0.02439990072515985,-0.02439990072515985
2023-02-06,149.61990356445312,150.97086135861267,148.6831181180358,150.4482332133508,69858300,,,138.64417419433593,6.932658300157298,152.50949079465053,124.77885759402133,139.77734525597117,2.287743240576873,3.5568356535553756,146.89101656308193,132.6636739488604,143.5011414424971,137.6774092658759,5.823732176621206,4.782551008632986,-1,-0.017928494545093265,0.017928494545093265
2023-02-07,152.49929809570312,153.07123392254363,148.54507002072867,148.54507002072867,83322600,,,139.85213928222657,7.144294945073259,154.14072917237309,125.56354939208006,140.9889598121361,4.526163901814954,3.6095912721487684,148.20814235643363,133.76977726783858,144.88547323529804,138.7753269569742,6.110146278323839,5.048070062571156,-1,0.01924472922821807,-0.01924472922821807
2023-02-08,149.8072052001953,152.43021546379302,149.06763565534052,151.7399535645781,64120100,,,140.89690246582032,6.986313173184667,154.86952881218966,126.92427611945098,141.82879270623698,3.3625798084524945,3.62290368223548,149.07460007070793,134.58298534176603,145.64266276835914,139.59250312313873,6.050159645220418,5.248487979101009,-1,-0.01765314941855245,0.01765314941855245
2023-02-09,148.7718505859375,152.1837390894266,148.32811173185976,151.64138491373802,56007100,,,141.75381622314453,6.839830791496397,155.43347780613732,128.07415464015173,142.4900363138275,3.8556273575668456,3.6653064518240344,149.82064921747556,135.15942341017941,146.1240762787558,140.27245478704975,5.851621491706055,5.369114681622019,-1,-0.006911247111740848,0.006911247111740848
2023-02-10,149.13726806640625,149.46317743221437,147.3694730974516,147.60650220064647,57450700,,,142.63294525146483,6.58514355560873,155.80323236268228,129.46265814024738,143.12310600454927,2.0937043347627764,3.630952929061169,150.3850118626716,135.86120014642694,146.58764424608665,140.92910762255764,5.658536623529017,5.4269990700034185,-1,0.0024562272972310506,-0.0024562272972310506
2023-02-13,151.94204711914062,152.3469510828992,149.0483754519819,149.07800220373113,62199000,,,143.58575439453125,6.4783651354467064,156.54248466542467,130.62902412363783,143.96300515831987,3.2985756309172984,3.635148850271899,151.23330285886368,136.69270745777607,147.4113985342488,141.7448809186008,5.66651761564799,5.474902779132333,-1,0.01880669459149198,-0.01880669459149198
2023-02-14,151.30006408691406,151.863002379357,148.98908756642754,150.23345606140762,61707600,,,144.44828338623046,6.287439786553633,157.02316295933772,131.8734038131232,144.66177267532882,2.8739148129294563,3.623042469356359,151.90785761404155,137.4156877366161,148.0096547731204,142.4526722644018,5.5569825087185905,5.4913187250495845,-1,-0.004225183511731734,0.004225183511731734
2023-02-15,153.40370178222656,153.57159174620645,150.9840880773076,151.21123154980276,65573800,,,145.45198516845704,6.015478307518296,157.48294178349363,133.42102855342046,145.49433735217622,2.5875036688988473,3.5759068824420597,152.64615111706033,138.3425235872921,148.83950815913673,143.26385963609255,5.57564852304418,5.508184684648503,-1,0.013903746227788005,-0.013903746227788005
2023-02-16,151.8037872314453,154.39129073768956,151.44825113314346,151.6062554560653,68167900,,,146.37273559570312,5.455091382959689,157.2829183616225,135.46255282978373,146.095237340678,2.943039604546101,3.600783564822133,153.2968044703223,138.89367021103374,149.29555109333805,143.89644686537795,5.399104227960095,5.486368593310822,-1,-0.010429439004363217,0.010429439004363217
